PHX,22200703,112,MEM,110
DEN,22200702,99,OKC,101
GSW,22200704,116,BKN,120
TOR,22200700,125,NYK,116
TOR,22200692,104,BOS,106
SAC,22200698,127,PHI,129
CLE,22200695,114,MIL,102
LAL,22200690,122,MEM,121
CLE,22200685,114,GSW,120
ATL,22200684,139,NYK,124
SAC,22200691,118,OKC,113
PHX,22200681,117,BKN,112
BOS,22200679,121,GSW,118
MIN,22200680,128,TOR,126
NOP,22200673,98,MIA,124
MEM,22200672,115,CLE,114
DEN,22200676,122,MIN,118
LAL,22200677,111,SAC,116
MIL,22200665,130,TOR,122
LAC,22200668,110,PHI,120
ATL,22200661,121,MIA,113
NYK,22200659,121,TOR,123
CLE,22200658,113,NOP,103
MEM,22200663,136,PHX,106
CHI,22200650,132,GSW,118
LAL,22200655,112,PHI,113
BKN,22200651,102,OKC,112
MIN,22200645,110,CLE,102
MIA,22200641,111,MIL,95
TOR,22200644,103,ATL,114
MIN,22200637,121,PHX,116
CHI,22200636,110,OKC,124
LAC,22200639,103,DEN,115
MIA,22200628,108,MIL,102
PHI,22200626,114,OKC,133
BKN,22200627,98,BOS,109
BOS,22200621,125,NOP,114
DEN,22200624,126,PHX,97
ATL,22200620,105,MIL,114
MIA,22200611,112,OKC,111
GSW,22200615,113,PHX,125
DEN,22200609,122,LAL,109
BOS,22200606,107,CHI,99
NYK,22200607,107,MIL,111
PHX,22200603,98,CLE,112
MIA,22200599,101,BKN,102
LAC,22200604,108,ATL,112
SAC,22200595,134,LAL,136
MIN,22200587,128,LAC,115
NOP,22200586,102,BKN,108
TOR,22200582,108,NYK,112
PHI,22200581,112,CHI,126
LAL,22200590,130,ATL,114
DEN,22200588,121,CLE,108
PHX,22200589,96,MIA,104
DEN,22200579,122,LAC,91
TOR,22200569,101,MIL,104
CHI,22200570,121,BKN,112
SAC,22200575,117,ATL,120
LAL,22200574,112,MIA,109
CLE,22200565,90,PHX,88
OKC,22200562,150,BOS,117
NYK,22200550,102,PHX,83
PHI,22200554,120,NOP,111
LAC,22200560,100,MIA,110
MIN,22200557,124,DEN,111
GSW,22200558,143,ATL,141
CLE,22200552,145,CHI,134
MEM,22200547,118,SAC,108
DEN,22200549,123,BOS,111
MEM,22200543,116,NOP,101
CHI,22200540,102,CLE,103
OKC,22200545,96,PHI,115
DEN,22200535,124,MIA,119
MIL,22200533,123,MIN,114
ATL,22200530,121,LAL,130
NOP,22200534,127,PHI,116
TOR,22200531,113,PHX,104
BOS,22200525,116,LAC,110
TOR,22200526,106,MEM,119
MIA,22200518,112,LAL,98
SAC,22200522,127,DEN,126
NOP,22200520,119,MIN,118
ATL,22200517,107,BKN,108
CHI,22200519,119,MIL,113
MEM,22200510,108,PHX,125
SAC,22200514,106,DEN,113
TOR,22200509,113,LAC,124
MIA,22200500,113,MIN,110
CLE,22200498,117,BKN,125
DEN,22200497,128,PHX,125
GSW,22200496,123,MEM,109
BOS,22200495,139,MIL,118
NYK,22200493,112,PHI,119
NYK,22200485,117,CHI,118
BOS,22200482,121,MIN,109
CLE,22200484,107,TOR,118
OKC,22200488,125,NOP,128
BKN,22200483,118,MIL,100
PHX,22200490,100,MEM,125
PHI,22200480,119,LAC,114
BKN,22200470,143,GSW,113
SAC,22200475,134,LAL,120
NYK,22200471,106,TOR,113
CLE,22200466,114,MIL,106
ATL,22200468,108,CHI,110
DEN,22200465,105,MEM,91
MIA,22200462,103,CHI,113
NYK,22200463,132,GSW,94
NOP,22200457,119,MIL,128
PHI,22200453,104,TOR,101
PHX,22200459,130,LAL,104
MIN,22200449,150,CHI,126
TOR,22200448,110,GSW,126
PHX,22200444,118,NOP,114
OKC,22200443,115,MEM,109
PHI,22200432,118,GSW,106
TOR,22200433,116,BKN,119
LAL,22200437,126,DEN,108
OKC,22200435,110,MIN,112
CHI,22200434,91,NYK,114
MEM,22200425,142,MIL,101
LAC,22200427,95,PHX,111
CHI,22200418,120,NYK,128
LAC,22200423,99,MIN,88
TOR,22200417,123,SAC,124
OKC,22200419,108,MIA,110
MIL,22200410,128,GSW,111
PHI,22200409,123,SAC,103
LAL,22200413,118,BOS,122
LAC,22200408,113,BOS,93
MEM,22200404,128,ATL,103
NOP,22200395,129,PHX,124
ATL,22200400,123,CHI,122
NYK,22200397,112,SAC,99
GSW,22200392,123,BOS,107
CLE,22200390,110,OKC,102
NOP,22200384,128,PHX,117
PHI,22200382,133,LAL,122
CLE,22200381,95,SAC,106
BKN,22200380,120,ATL,116
MIA,22200374,115,LAC,110
PHX,22200373,98,BOS,125
TOR,22200366,126,LAL,113
NYK,22200365,113,ATL,89
MIL,22200369,126,SAC,113
MEM,22200368,123,OKC,102
CLE,22200360,116,LAL,102
ATL,22200354,114,OKC,121
TOR,22200355,110,BOS,116
MEM,22200357,101,MIA,93
NOP,22200344,121,DEN,106
NYK,22200348,92,CLE,81
SAC,22200350,110,CHI,101
BKN,22200346,92,BOS,103
MIN,22200341,128,OKC,135
LAC,22200338,96,SAC,123
MEM,22200332,117,PHI,109
BKN,22200329,114,TOR,105
MIL,22200331,129,LAL,133
ATL,22200327,117,DEN,109
GSW,22200336,119,CHI,111
BOS,22200328,116,MIA,120
CLE,22200312,113,PHI,85
NYK,22200316,103,MIL,109
MIN,22200317,109,MEM,101
BOS,22200314,134,MIA,121
NOP,22200318,126,TOR,108
PHX,22200321,132,CHI,113
PHI,22200299,104,ATL,101
NOP,22200304,105,OKC,101
SAC,22200307,117,PHX,122
TOR,22200303,100,CLE,88
NYK,22200296,123,MEM,127
ATL,22200293,98,MIA,106
MIN,22200291,114,GSW,137
MIL,22200280,117,CLE,102
MEM,22200279,132,NOP,111
BOS,22200275,122,SAC,104
LAC,22200285,104,DEN,114
OKC,22200281,123,CHI,119
MIL,22200267,113,CHI,118
OKC,22200268,126,DEN,131
TOR,22200266,98,BKN,112
GSW,22200271,124,LAC,107
ATL,22200263,115,SAC,106
PHX,22200259,115,LAL,105
MEM,22200257,109,SAC,113
PHI,22200256,115,BKN,106
CHI,22200250,121,BOS,107
NOP,22200253,128,GSW,83
MIN,22200252,105,MIA,101
CLE,22200248,114,ATL,102
OKC,22200254,119,NYK,129
BKN,22200243,127,MEM,115
PHX,22200240,116,NYK,95
CLE,22200244,113,MIA,87
PHI,22200237,109,MIN,112
ATL,22200235,124,TOR,122
NOP,22200231,109,BOS,117
GSW,22200233,111,NYK,101
MEM,22200229,121,OKC,110
PHI,22200226,110,MIL,102
MIL,22200216,113,CLE,98
PHX,22200220,130,GSW,119
TOR,22200215,112,MIA,104
NOP,22200217,124,CHI,110
ATL,22200214,101,BOS,126
DEN,22200219,103,NYK,106
SAC,22200210,153,BKN,121
NOP,22200206,113,MEM,102
MIA,22200202,113,PHX,112
MIL,22200204,106,ATL,121
BOS,22200201,126,OKC,122
